x,y,u,v
47200.0,0.0,-0.03,-999.0
47300.0,0.0,-0.02,-999.0
47400.0,0.0,-0.03,-999.0
47500.0,0.0,-0.03,-999.0
47600.0,0.0,-0.03,-999.0
47700.0,0.0,-0.04,-999.0
47800.0,0.0,-0.02,-999.0
47900.0,0.0,-0.03,-999.0
48000.0,0.0,-0.03,-999.0
48100.0,0.0,-0.02,-999.0
48200.0,0.0,-0.03,-999.0
48300.0,0.0,-0.03,-999.0
48400.0,0.0,-0.03,-999.0
48500.0,0.0,-0.03,-999.0
48600.0,0.0,-0.03,-999.0
48700.0,0.0,-0.03,-999.0
48800.0,0.0,-0.03,-999.0
48900.0,0.0,-0.03,-999.0
49000.0,0.0,-0.03,-999.0
49100.0,0.0,-0.03,-999.0
49200.0,0.0,-0.02,-999.0
49300.0,0.0,-0.03,-999.0
49400.0,0.0,-0.03,-999.0
49500.0,0.0,-0.03,-999.0
49600.0,0.0,-0.03,-999.0
49700.0,0.0,-0.03,-999.0
49800.0,0.0,-0.03,-999.0
49900.0,0.0,-0.03,-999.0
50000.0,0.0,-0.03,-999.0
50100.0,0.0,-0.02,-999.0
50200.0,0.0,-0.03,-999.0
50300.0,0.0,-0.03,-999.0
50400.0,0.0,-0.03,-999.0
50500.0,0.0,-0.03,-999.0
50600.0,0.0,-0.03,-999.0
50700.0,0.0,-0.03,-999.0
50800.0,0.0,-0.03,-999.0
50900.0,0.0,-0.03,-999.0
51000.0,0.0,-0.03,-999.0
51100.0,0.0,-0.03,-999.0
51200.0,0.0,-0.03,-999.0
51300.0,0.0,-0.03,-999.0
51400.0,0.0,-0.02,-999.0
51500.0,0.0,-0.02,-999.0
51600.0,0.0,-0.03,-999.0
51700.0,0.0,-0.02,-999.0
51800.0,0.0,-0.03,-999.0
51900.0,0.0,-0.02,-999.0
52000.0,0.0,-0.02,-999.0
52100.0,0.0,-0.02,-999.0
52200.0,0.0,-0.03,-999.0
52300.0,0.0,-0.02,-0.12
52400.0,0.0,-0.02,-0.12
52500.0,0.0,-0.02,-0.12
52600.0,0.0,-0.02,-0.12
52700.0,0.0,-0.02,-0.13
52800.0,0.0,-0.02,-0.13
52900.0,0.0,-0.02,-0.13
53000.0,0.0,-0.02,-0.13
53100.0,0.0,-0.02,-0.13
53200.0,0.0,-0.02,-0.14
53300.0,0.0,-0.02,-0.14
53400.0,0.0,-0.02,-0.14
53500.0,0.0,-0.02,-0.14
